Field,Type,Null,Key,Default,Extra
id,int,NO,PRI,NULL,auto_increment
tb_buku_id,int,YES,MUL,NULL,
No_Koleksi,int,YES,,NULL,
Status_Koleksi,"enum('A','P','H','R')",YES,,A,
